<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
USD000000TOD,0,20131204,101134,33.259000000,40000
USD000000TOD,0,20131204,101151,33.259000000,20000
USD000000TOD,0,20131204,101155,33.258000000,164000
USD000000TOD,0,20131204,101159,33.259000000,164000
USD000000TOD,0,20131204,101203,33.259000000,78000
USD000000TOD,0,20131204,101205,33.259000000,30000
USD000000TOD,0,20131204,101205,33.258000000,136000
USD000000TOD,0,20131204,101205,33.257500000,34000
USD000000TOD,0,20131204,101216,33.259500000,10000
USD000000TOD,0,20131204,101217,33.259500000,12000
USD000000TOD,0,20131204,101217,33.257500000,12000
USD000000TOD,0,20131204,101220,33.260000000,300000
USD000000TOD,0,20131204,101224,33.260000000,200000
USD000000TOD,0,20131204,101231,33.257500000,4000
USD000000TOD,0,20131204,101231,33.257500000,100000
USD000000TOD,0,20131204,101231,33.257500000,30000
USD000000TOD,0,20131204,101231,33.257500000,53000
USD000000TOD,0,20131204,101231,33.257000000,74000
USD000000TOD,0,20131204,101236,33.257000000,110000
USD000000TOD,0,20131204,101259,33.260000000,4200000
USD000000TOD,0,20131204,101259,33.260000000,14000
USD000000TOD,0,20131204,101259,33.260000000,786000
USD000000TOD,0,20131204,101310,33.261000000,350000
USD000000TOD,0,20131204,101324,33.260000000,8000
USD000000TOD,0,20131204,101340,33.258000000,100000
USD000000TOD,0,20131204,101343,33.260000000,231000
USD000000TOD,0,20131204,101348,33.260000000,853000
USD000000TOD,0,20131204,101348,33.260000000,472000
USD000000TOD,0,20131204,101349,33.260000000,436000
USD000000TOD,0,20131204,101355,33.258500000,80000
USD000000TOD,0,20131204,101355,33.258500000,375000
USD000000TOD,0,20131204,101355,33.258500000,500000
USD000000TOD,0,20131204,101355,33.257500000,1045000
USD000000TOD,0,20131204,101356,33.258500000,9000
USD000000TOD,0,20131204,101358,33.258500000,500000
USD000000TOD,0,20131204,101358,33.258000000,25000
USD000000TOD,0,20131204,101358,33.258000000,475000
USD000000TOD,0,20131204,101358,33.261000000,398000
USD000000TOD,0,20131204,101402,33.261000000,87000
USD000000TOD,0,20131204,101405,33.260000000,1000000
USD000000TOD,0,20131204,101409,33.261000000,15000
USD000000TOD,0,20131204,101412,33.262000000,500000
USD000000TOD,0,20131204,101412,33.262500000,2000000
USD000000TOD,0,20131204,101412,33.264000000,200000
USD000000TOD,0,20131204,101412,33.262500000,679000
USD000000TOD,0,20131204,101415,33.262500000,3000000
USD000000TOD,0,20131204,101415,33.262500000,1321000
USD000000TOD,0,20131204,101415,33.261500000,429000
USD000000TOD,0,20131204,101418,33.263500000,10000
USD000000TOD,0,20131204,101423,33.261000000,185000
USD000000TOD,0,20131204,101426,33.261000000,8000
USD000000TOD,0,20131204,101430,33.261000000,89000
USD000000TOD,0,20131204,101436,33.262500000,20000
USD000000TOD,0,20131204,101443,33.260000000,12000
USD000000TOD,0,20131204,101444,33.262500000,111000
USD000000TOD,0,20131204,101444,33.260000000,101000
USD000000TOD,0,20131204,101444,33.258500000,188000
USD000000TOD,0,20131204,101452,33.259500000,10000
USD000000TOD,0,20131204,101452,33.259000000,61000
USD000000TOD,0,20131204,101528,33.260000000,139000
USD000000TOD,0,20131204,101528,33.260000000,1000
USD000000TOD,0,20131204,101530,33.259000000,226000
USD000000TOD,0,20131204,101530,33.260000000,40000
USD000000TOD,0,20131204,101532,33.260000000,500000
USD000000TOD,0,20131204,101534,33.259000000,10000
USD000000TOD,0,20131204,101534,33.258500000,10000
USD000000TOD,0,20131204,101534,33.260000000,200000
USD000000TOD,0,20131204,101537,33.260000000,10000
USD000000TOD,0,20131204,101538,33.258500000,125000
USD000000TOD,0,20131204,101542,33.258500000,330000
USD000000TOD,0,20131204,101542,33.258500000,2000
USD000000TOD,0,20131204,101547,33.258500000,125000
USD000000TOD,0,20131204,101551,33.258500000,167000
USD000000TOD,0,20131204,101557,33.260000000,23000
USD000000TOD,0,20131204,101559,33.260000000,36000
USD000000TOD,0,20131204,101601,33.260000000,100000
USD000000TOD,0,20131204,101610,33.258500000,53000
USD000000TOD,0,20131204,101610,33.258500000,10000
USD000000TOD,0,20131204,101610,33.258500000,50000
USD000000TOD,0,20131204,101610,33.258500000,100000
USD000000TOD,0,20131204,101610,33.258000000,87000
USD000000TOD,0,20131204,101619,33.260000000,8000
USD000000TOD,0,20131204,101633,33.258000000,13000
USD000000TOD,0,20131204,101634,33.260000000,82000
USD000000TOD,0,20131204,101634,33.260000000,699000
USD000000TOD,0,20131204,101650,33.257500000,425000
USD000000TOD,0,20131204,101650,33.257500000,30000
USD000000TOD,0,20131204,101659,33.256500000,651000
USD000000TOD,0,20131204,101705,33.256000000,81000
USD000000TOD,0,20131204,101705,33.258500000,200000
USD000000TOD,0,20131204,101705,33.256000000,15000
USD000000TOD,0,20131204,101706,33.256000000,280000
USD000000TOD,0,20131204,101708,33.256000000,10000
USD000000TOD,0,20131204,101710,33.257000000,200000
USD000000TOD,0,20131204,101711,33.257000000,100000
