<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USD000000TOD,1,20131204,131600,33.2480000,33.2480000,33.2450000,33.2450000,273000
USD000000TOD,1,20131204,131700,33.2455000,33.2475000,33.2455000,33.2475000,952000
USD000000TOD,1,20131204,131800,33.2480000,33.2495000,33.2480000,33.2495000,1479000
USD000000TOD,1,20131204,131900,33.2475000,33.2475000,33.2475000,33.2475000,1052000
USD000000TOD,1,20131204,132000,33.2475000,33.2500000,33.2475000,33.2500000,3345000
USD000000TOD,1,20131204,132100,33.2495000,33.2500000,33.2485000,33.2485000,1399000
USD000000TOD,1,20131204,132200,33.2450000,33.2450000,33.2410000,33.2450000,7639000
USD000000TOD,1,20131204,132300,33.2450000,33.2465000,33.2450000,33.2465000,298000
USD000000TOD,1,20131204,132400,33.2465000,33.2465000,33.2455000,33.2455000,1070000
USD000000TOD,1,20131204,132500,33.2475000,33.2475000,33.2475000,33.2475000,1000000
USD000000TOD,1,20131204,132600,33.2460000,33.2510000,33.2460000,33.2460000,7069000
USD000000TOD,1,20131204,132700,33.2490000,33.2500000,33.2490000,33.2500000,568000
USD000000TOD,1,20131204,132800,33.2470000,33.2500000,33.2400000,33.2500000,8476000
USD000000TOD,1,20131204,133000,33.2505000,33.2510000,33.2490000,33.2510000,303000
USD000000TOD,1,20131204,133100,33.2510000,33.2525000,33.2495000,33.2510000,3202000
USD000000TOD,1,20131204,133200,33.2480000,33.2510000,33.2475000,33.2475000,301000
USD000000TOD,1,20131204,133300,33.2500000,33.2500000,33.2500000,33.2500000,435000
USD000000TOD,1,20131204,133400,33.2495000,33.2495000,33.2490000,33.2490000,1122000
USD000000TOD,1,20131204,133500,33.2495000,33.2495000,33.2485000,33.2485000,972000
USD000000TOD,1,20131204,133600,33.2475000,33.2520000,33.2465000,33.2520000,5593000
USD000000TOD,1,20131204,133700,33.2525000,33.2525000,33.2520000,33.2525000,589000
USD000000TOD,1,20131204,133800,33.2520000,33.2535000,33.2500000,33.2535000,7545000
USD000000TOD,1,20131204,133900,33.2540000,33.2540000,33.2520000,33.2520000,1383000
USD000000TOD,1,20131204,134000,33.2525000,33.2530000,33.2525000,33.2530000,328000
USD000000TOD,1,20131204,134100,33.2505000,33.2510000,33.2480000,33.2480000,4132000
USD000000TOD,1,20131204,134200,33.2505000,33.2510000,33.2475000,33.2475000,3231000
USD000000TOD,1,20131204,134300,33.2500000,33.2515000,33.2500000,33.2500000,614000
USD000000TOD,1,20131204,134400,33.2495000,33.2500000,33.2495000,33.2495000,205000
USD000000TOD,1,20131204,134500,33.2495000,33.2530000,33.2485000,33.2530000,3543000
USD000000TOD,1,20131204,134600,33.2510000,33.2530000,33.2510000,33.2530000,450000
USD000000TOD,1,20131204,134700,33.2530000,33.2530000,33.2510000,33.2510000,820000
USD000000TOD,1,20131204,134800,33.2525000,33.2525000,33.2525000,33.2525000,7000
USD000000TOD,1,20131204,134900,33.2500000,33.2520000,33.2500000,33.2500000,373000
USD000000TOD,1,20131204,135000,33.2500000,33.2525000,33.2500000,33.2525000,3913000
USD000000TOD,1,20131204,135100,33.2525000,33.2525000,33.2520000,33.2520000,7016000
USD000000TOD,1,20131204,135200,33.2525000,33.2540000,33.2525000,33.2525000,2506000
USD000000TOD,1,20131204,135300,33.2515000,33.2515000,33.2510000,33.2510000,5891000
USD000000TOD,1,20131204,135400,33.2500000,33.2535000,33.2500000,33.2525000,243000
USD000000TOD,1,20131204,135500,33.2525000,33.2525000,33.2525000,33.2525000,30000
USD000000TOD,1,20131204,135600,33.2530000,33.2530000,33.2510000,33.2510000,548000
USD000000TOD,1,20131204,135700,33.2530000,33.2540000,33.2530000,33.2540000,991000
USD000000TOD,1,20131204,135800,33.2540000,33.2540000,33.2530000,33.2535000,339000
USD000000TOD,1,20131204,135900,33.2530000,33.2530000,33.2530000,33.2530000,1243000
USD000000TOD,1,20131204,140000,33.2520000,33.2550000,33.2520000,33.2550000,5149000
USD000000TOD,1,20131204,140100,33.2570000,33.2570000,33.2570000,33.2570000,10000
USD000000TOD,1,20131204,140200,33.2565000,33.2565000,33.2565000,33.2565000,3092000
USD000000TOD,1,20131204,140300,33.2550000,33.2550000,33.2510000,33.2510000,455000
USD000000TOD,1,20131204,140400,33.2510000,33.2600000,33.2500000,33.2600000,11145000
USD000000TOD,1,20131204,140500,33.2585000,33.2625000,33.2585000,33.2625000,4254000
USD000000TOD,1,20131204,140600,33.2620000,33.2620000,33.2570000,33.2600000,1195000
USD000000TOD,1,20131204,140700,33.2570000,33.2595000,33.2570000,33.2585000,1050000
USD000000TOD,1,20131204,140800,33.2600000,33.2600000,33.2580000,33.2600000,455000
USD000000TOD,1,20131204,140900,33.2575000,33.2580000,33.2540000,33.2540000,2216000
